price,price_per_sqfoot,bedrooms,bathrooms,square-foot
960,0.905660377,2,1,1060
675,0.964285714,2,1,700
3795,5.177353342,1,1,733
2750,5.5,0,1,500
1350,0.754189944,3,2,1790
3500,4.666666667,1,1,750
640,0.836601307,2,1,765
375,0.340909091,2,1,1100
17500,5.303030303,4,4,3300
2385,3.669230769,1,1,650
2650,3.3125,2,1,800
1250,1.096491228,1,1,1140
975,1.274509804,2,1,765
1500,0.982961992,3,2,1526
3600,2.181818182,4,2,1650
2375,4.75,0,1,500
925,0.616666667,3,1,1500
865,1.017647059,2,1,850
335,0.446666667,2,1,750
1750,1.75,6,2,1000
1995,0.923611111,4,3,2160
2800,2.074074074,2,2,1350
3100,2.254545455,2,2,1375
635,0.647959184,2,2,980
1150,1.02954342,3,2,1117
3000,3.157894737,2,2,950
1150,1.032315978,3,2,1114
495,0.825,1,1,600
2250,4.5,0,1,500
695,0.86875,2,1,800
900,1.048951049,3,1,858
650,0.65,2,1,1000
1125,1.071428571,3,2,1050
775,0.735992403,2,2,1053
800,0.727272727,3,1,1100
1525,0.649765658,5,3,2347
2820,5.127272727,0,1,550
1575,1.584507042,2,2,994
3000,1.42993327,4,2,2098
1600,1.47601476,3,1,1084
1395,1.268181818,2,1,1100
750,0.46875,3,1,1600
2200,2.933333333,2,1,750
1500,1.648351648,3,1,910
3800,2.235294118,4,3,1700
1500,1,2,2,1500
2250,3.461538462,1,1,650
1875,4.166666667,0,1,450
995,0.550636414,3,2,1807
2375,2.794117647,2,1,850
390,0.795918367,0,1,490
3150,5.080645161,0,1,620
3450,2.090909091,4,2,1650
2700,2.177419355,2,2,1240
2595,9.105263158,0,1,285
1100,1.295641932,1,1,849
900,0.642857143,4,2,1400
7000,8.75,2,1,800
2195,1.493197279,2,2,1470
1400,1.206896552,2,2,1160
1895,1.503968254,3,2,1260
800,0.533333333,4,2,1500
1895,1.503968254,3,2,1260
1100,1.222222222,2,1,900
650,0.61436673,2,1,1058
795,1.517175573,1,1,524
720,0.872727273,1,1,825
4800,3.2,5,2,1500
4750,3.518518519,4,1,1350
1700,1.416666667,2,2,1200
4000,2.666666667,4,2,1500
1435,0.830439815,3,2,1728
1070,2.377777778,0,1,450
1750,3.5,2,1,500
1550,1.192307692,2,2,1300
995,1.24375,2,1,800
4300,2.866666667,4,2,1500
1700,2.428571429,1,1,700
4650,2.657142857,5,2,1750
4150,4.611111111,2,1,900
500,1.282051282,0,1,390
1095,1.825,0,1,600
5500,3.749147921,1,2,1467
815,0.881081081,1,1,925
400,0.455580866,3,1,878
2000,1.349527665,2,3,1482
2250,3.461538462,1,1,650
1500,1,3,2,1500
1800,1.397515528,3,2,1288
2550,2.684210526,2,2,950
475,0.494791667,3,1,960
1530,2.04,1,1,750
3300,3.3,3,1,1000
725,1.035714286,1,1,700
3600,4.5,2,1,800
2100,2.692307692,2,1,780
3300,3.3,3,1,1000
675,1.074840764,2,1,628
845,1.070975919,2,2,789
1050,0.828729282,3,3,1267
2000,3.076923077,1,1,650
1200,1.113172542,3,1,1078
385,0.48125,1,1,800
385,0.48125,1,1,800
1100,0.804093567,3,2,1368
1675,2.189542484,1,1,765
890,0.956989247,2,1,930
1800,2,1,1,900
995,1.421428571,1,1,700
1050,1.3125,2,1,800
2350,1.876996805,2,2,1252
3500,3.181818182,3,1,1100
1350,0.754189944,3,2,1790
2000,2.614379085,1,1,765
1350,0.754189944,3,2,1790
2150,1.96347032,2,2,1095
2300,2.143522833,2,2,1073
1700,1.893095768,1,1,898
1690,1.834961998,1,1,921
2250,2.093023256,2,2,1075
1850,2.06013363,1,1,898
2800,2.236421725,2,2,1252
1500,1.670378619,1,1,898
625,0.510204082,2,2,1225
9625,5.347222222,3,2,1800
1895,1.353571429,3,3,1400
2100,3.5,0,1,600
995,0.995,2,1,1000
3800,2.367601246,4,2,1605
1890,2.454545455,1,1,770
3250,6.5,0,1,500
2200,5.288461538,0,1,416
4400,3.049203049,2,2,1443
5400,4.153846154,4,1,1300
5250,5.06268081,2,2,1037
595,0.652412281,2,1,912
1250,0.735294118,3,3,1700
975,1.144366197,1,1,852
595,1.19,1,1,500
1475,2.458333333,0,1,600
1650,2.0625,2,1,800
581,0.426265591,3,2,1363
1600,2.684563758,1,1,596
504,0.84,1,1,600
2700,3.375,2,1,800
2600,3.466666667,1,1,750
525,0.603448276,2,1,870
3400,2.125,4,2,1600
2150,2.502910361,1,1,859
2535,3.184673367,1,1,796
1500,1,1,0,1500
3450,4.791666667,1,1,720
2450,2.49745158,1,1,981
2150,2.5,1,1,860
1249,1.715659341,1,1,728
6400,8.465608466,1,1,756
1550,2.600671141,1,1,596
2500,2.5,2,2,1000
850,0.708333333,3,1,1200
1700,2.266666667,1,1,750
2650,3.275648949,1,1,809
1700,1.440677966,2,2,1180
4050,7.043478261,1,1,575
2580,3.24120603,1,1,796
2075,2.994227994,0,1,693
5035,3.763079223,3,2,1338
1850,1.15625,3,2,1600
1850,1.15625,3,2,1600
1700,2.125,2,1,800
2220,2.828025478,1,1,785
1750,2.5,2,1,700
3500,4.458598726,1,1,785
1620,1.35,2,1,1200
3215,2.788378144,1,1,1153
2950,2.093683463,2,2,1409
350,0.357142857,2,1,980
700,0.7,2,1,1000
2150,4.594017094,1,1,468
600,0.857142857,1,1,700
2800,4,3,2,700
435,0.665137615,1,1,654
2200,2,2,2,1100
3100,2.818181818,3,1,1100
8500,6.609642302,2,2,1286
1700,2.611367127,1,1,651
1750,2.8,1,1,625
2200,2.178217822,2,2,1010
2000,2.214839424,1,1,903
975,1.067907996,1,1,913
1890,2.885496183,0,1,655
2900,3.008298755,2,2,964
2750,2.001455604,2,2,1374
1950,2.708333333,1,1,720
3200,2.618657938,2,2,1222
2650,1.979088872,2,2,1339
699,0.857668712,2,1,815
1750,2.916666667,1,1,600
1950,3.032659409,1,1,643
550,0.611111111,2,1,900
2050,1.978764479,2,2,1036
2500,2.272727273,2,2,1100
5375,6.3459268,0,2,847
575,0.782312925,2,1,735
575,0.720551378,2,1,798
2000,2.380952381,1,1,840
5100,3.777777778,3,2,1350
1840,3.066666667,2,1,600
1400,1.781170483,1,1,786
640,0.744186047,2,1,860
6295,6.397357724,1,2,984
5750,5.879345603,0,2,978
2200,1,4,2,2200
1295,0.723463687,4,2,1790
925,1.101190476,2,1,840
1920,2.461538462,2,1,780
915,1.794117647,1,1,510
15000,5.620082428,4,4,2669
1200,1,2,1,1200
2700,2.00148258,2,2,1349
900,0.818181818,2,1,1100
3100,2.536824877,2,2,1222
2550,3.469387755,1,1,735
1575,2.25,1,1,700
895,0.745833333,3,1,1200
1300,0.920679887,3,2,1412
2995,5.546296296,1,1,540
1695,0.753668297,4,2,2249
2600,3.714285714,2,1,700
710,0.747368421,2,1,950
880,0.886203424,2,2,993
825,1.145833333,2,1,720
1600,2.053915276,2,2,779
2000,1,4,2,2000
1000,0.833333333,4,2,1200
575,0.605263158,2,1,950
675,0.84375,1,1,800
490,0.890909091,1,1,550
1900,3.8,0,1,500
2100,4.038461538,0,1,520
2250,4.245283019,0,1,530
1450,3.717948718,0,1,390
2400,4,2,1,600
600,0.75,2,1,800
31500,14.31818182,4,4,2200
3200,1.454545455,3,3,2200
1475,2.458333333,1,1,600
3200,1.454545455,3,3,2200
790,2.445820433,0,1,323
2200,2.729528536,1,1,806
2800,2.504472272,2,2,1118
1525,2.932692308,0,1,520
3300,2.612826603,2,2,1263
3100,2.382782475,2,2,1301
2024,2.248888889,3,1,900
3000,2.540220152,2,2,1181
2695,2.410554562,2,2,1118
1800,1.161290323,3,2,1550
625,0.961538462,1,1,650
1250,1.215953307,2,2,1028
750,1.25,2,1,600
1595,1.595,1,1,1000
775,1.033333333,2,1,750
3450,5.021834061,1,1,687
2450,4.9,1,1,500
2200,3.055555556,0,1,720
3200,1.454545455,3,3,2200
1425,2.435897436,1,1,585
1050,0.576923077,4,2,1820
1595,1.092465753,3,2,1460
1465,1.655367232,2,1,885
2350,3.133333333,1,1,750
1100,1.1,4,1,1000
3114,5.063414634,1,1,615
3000,4.754358162,1,1,631
1650,2.374100719,1,1,695
3000,4.754358162,1,1,631
3375,5.289968652,1,1,638
3260,2.100515464,2,3,1552
2375,4.769076305,0,1,498
2795,3.726666667,1,0,750
3250,1.954299459,2,3,1663
2325,3.321428571,1,1,700
1150,1.4375,1,1,800
3400,5.022156573,1,1,677
1650,2.374100719,1,1,695
2800,4.72972973,1,1,592
2800,1.4,4,4,2000
3000,1.5,4,4,2000
795,0.828125,1,1,960
2800,1.4,4,4,2000
2695,3.593333333,1,1,750
3150,2.289244186,2,2,1376
2200,2.244897959,1,1,980
3400,2.190721649,2,3,1552
3850,3.632075472,2,0,1060
4500,1.997336884,3,3,2253
3100,1.864101022,2,3,1663
950,1.144578313,1,1,830
480,4,1,2,120
2200,4.954954955,1,1,444
750,0.691881919,2,1,1084
2000,2.645502646,2,1,756
1300,0.472727273,6,4,2750
1950,2.6,2,1,750
750,0.75,2,1,1000
2090,1.182126697,5,2,1768
2475,5.463576159,0,1,453
4650,3.576923077,2,2,1300
